product_key,product_name,brand,category
PRD001,Котел BAXI Eco Life 1.24 F,BAXI,котлы
PRD002,Котел Navien Deluxe S 24K,Navien,котлы
PRD003,Котел Vaillant turboTEC pro VUW 242/5-3,Vaillant,котлы
PRD004,Котел Protherm Гепард 23 MOV,Protherm,котлы
PRD005,Котел Buderus Logamax U072-24K,Buderus,котлы
PRD006,"Стальной радиатор 500//22*1300 (1,2)",Kermi,радиаторы
PRD007,"Стальной радиатор 500//22*1200 (1,2)",Kermi,радиаторы
PRD008,"Стальной радиатор 500//22*1000 (1,2)",Purmo,радиаторы
PRD009,"Стальной радиатор 500//22*800 (1,2)",Purmo,радиаторы
PRD010,"Стальной радиатор 500//22*600 (1,2)",Lidea,радиаторы
PRD011,Коаксиальный комплект 60/100 1м,Universal,коаксиалы
PRD012,Коаксиальный комплект 60/100 2м,Universal,коаксиалы
PRD013,Коаксиальный комплект 80/125 1м,Protherm,коаксиалы
PRD014,Коаксиальный комплект 80/125 2м,Navien,коаксиалы
PRD015,Коаксиальный комплект 60/100 угловой,Universal,коаксиалы
PRD016,Газовая колонка VilTerm S11,VilTerm,газовые колонки
PRD017,Газовая колонка BAXI GWH 10-2 CO P,BAXI,газовые колонки
PRD018,Газовая колонка Electrolux GWH 10 NanoPlus,Electrolux,газовые колонки
PRD019,Газовая колонка Zanussi GWH 10 Fonte Glass La Spezia,Zanussi,газовые колонки
PRD020,Бойлер косвенного нагрева 100 л,Protherm,бойлеры
PRD021,Бойлер косвенного нагрева 120 л,Protherm,бойлеры
PRD022,Бойлер косвенного нагрева 150 л,Protherm,бойлеры
PRD023,Бойлер косвенного нагрева 200 л,Protherm,бойлеры
PRD024,Бойлер косвенного нагрева 80 л,Protherm,бойлеры
PRD025,Бойлер косвенного нагрева 300 л,Protherm,бойлеры
