supplier_key,supplier_name,product_name,price,stock,warehouse_stocks,source_file,row_number
ib,unknown supplier 12 05 бакси иммергаз аристон дражице навьен термекс бош эван дакор,"Автоматический сливной клапан для скважины 1"" АКЦИЯ",316.407,1.0,"{""КРД"": 1.0}",2026-05-15_13-05-59_unknown_supplier_12_05_бакси_иммергаз_аристон_дражице_навьен_термекс_бош_эван_дакор.xls,3
ib,unknown supplier 12 05 бакси иммергаз аристон дражице навьен термекс бош эван дакор,"Автоматический сливной клапан для скважины 1/2"" АКЦИЯ",233.6355,6.0,"{""КРД"": 4.0, ""Крым"": 2.0}",2026-05-15_13-05-59_unknown_supplier_12_05_бакси_иммергаз_аристон_дражице_навьен_термекс_бош_эван_дакор.xls,4
ib,unknown supplier 12 05 бакси иммергаз аристон дражице навьен термекс бош эван дакор,"Автоматический сливной клапан для скважины 3/4""",276.591,27.0,"{""КРД"": 5.0, ""Крым"": 22.0}",2026-05-15_13-05-59_unknown_supplier_12_05_бакси_иммергаз_аристон_дражице_навьен_термекс_бош_эван_дакор.xls,5
ib,unknown supplier 12 05 бакси иммергаз аристон дражице навьен термекс бош эван дакор,Юнипамп адапт. станция АКВАРОБОТ ECO JET 100 LA (г/а 2л),9480.5445,3.0,"{""КРД"": 2.0, ""Крым"": 1.0}",2026-05-15_13-05-59_unknown_supplier_12_05_бакси_иммергаз_аристон_дражице_навьен_термекс_бош_эван_дакор.xls,7
ib,unknown supplier 12 05 бакси иммергаз аристон дражице навьен термекс бош эван дакор,Юнипамп адапт. станция АКВАРОБОТ ECO JET 80 LA (г/а 2л) АКЦИЯ,8916.894,1.0,"{""КРД"": 1.0}",2026-05-15_13-05-59_unknown_supplier_12_05_бакси_иммергаз_аристон_дражице_навьен_термекс_бош_эван_дакор.xls,8
ib,unknown supplier 12 05 бакси иммергаз аристон дражице навьен термекс бош эван дакор,Юнипамп адаптивная стан. АКВАРОБОТ JET 100 L,10727.2935,2.0,"{""КРД"": 1.0, ""Крым"": 1.0}",2026-05-15_13-05-59_unknown_supplier_12_05_бакси_иммергаз_аристон_дражице_навьен_термекс_бош_эван_дакор.xls,9
ib,unknown supplier 12 05 бакси иммергаз аристон дражице навьен термекс бош эван дакор,Юнипамп адаптивная стан. АКВАРОБОТ JET 100 L (г/а 2л),10262.1225,2.0,"{""Крым"": 2.0}",2026-05-15_13-05-59_unknown_supplier_12_05_бакси_иммергаз_аристон_дражице_навьен_термекс_бош_эван_дакор.xls,10
ib,unknown supplier 12 05 бакси иммергаз аристон дражице навьен термекс бош эван дакор,Юнипамп адаптивная стан. АКВАРОБОТ JET 100 S (г/а 2л),9962.484,3.0,"{""КРД"": 1.0, ""Крым"": 2.0}",2026-05-15_13-05-59_unknown_supplier_12_05_бакси_иммергаз_аристон_дражице_навьен_термекс_бош_эван_дакор.xls,11
ib,unknown supplier 12 05 бакси иммергаз аристон дражице навьен термекс бош эван дакор,Юнипамп адаптивная стан. АКВАРОБОТ JET 110 L,12404.6475,1.0,"{""КРД"": 1.0}",2026-05-15_13-05-59_unknown_supplier_12_05_бакси_иммергаз_аристон_дражице_навьен_термекс_бош_эван_дакор.xls,12
ib,unknown supplier 12 05 бакси иммергаз аристон дражице навьен термекс бош эван дакор,Юнипамп адаптивная стан. АКВАРОБОТ JET 110 L (г/а 2л) АКЦИЯ,11106.564,18.0,"{""КРД"": 3.0, ""Крым"": 15.0}",2026-05-15_13-05-59_unknown_supplier_12_05_бакси_иммергаз_аристон_дражице_навьен_термекс_бош_эван_дакор.xls,13
